Particle size,Cluster,Count,percent,MeanLength,MeanWidth,Mean aspect ratio,Mean Particle Dimension,Sphericity,Total Sphericity
Coarse,cylindrical,318,53,5.43,3.99,1.4,4.71,0.86,0.8600000000000001
Coarse,cylindrical,95,15,1.21,0.89,1.4,1.05,0.86,0.8600000000000001
Coarse,cylindrical,191,32,10.04,5.57,2.18,7.805,0.84,0.8600000000000001
Medium,flakes,550,58,3.21,2.56,1.28,2.885,0.43,0.58
Medium,flakes,143,15,1.05,0.81,1.33,0.93,0.68,0.58
Medium,cylindrical,256,27,5.28,3.02,2.19,4.15,0.85,0.58
Fine,flakes,573,53,2.03,1.61,1.29,1.8199999999999998,0.53,0.6599999999999999
Fine,flakes,138,13,0.91,0.7,1.35,0.8049999999999999,0.7,0.6599999999999999
Fine,cylindrical,369,34,3.69,2.03,2.12,2.86,0.84,0.6599999999999999
Extrafine,flakes,2989,98,0.98,0.72,1.39,0.85,0.69,0.7000000000000001
Extrafine,cylindrical,73,2,3.11,1.84,2.16,2.475,0.85,0.7000000000000001
