frequency,TL_paper,TL_sandwich,TL_YM_paper
50,1.67,7.3885,3.9774
63,2.3261,8.7607,5.0555
80,3.1661,10.2536,6.2945
100,4.0936,11.7049,7.5485
125,5.1462,13.2016,8.8805
160,6.4371,14.9018,10.4287
200,7.7004,16.472,11.8835
250,9.0393,18.0689,13.3808
315,10.4914,19.7461,14.9674
400,12.0486,21.4999,16.6362
500,13.543,23.1521,18.2121
630,15.1199,24.8727,19.8502
800,16.7668,26.6542,21.5331
1000,18.3033,28.3125,23.0721
1250,19.8124,29.9528,24.5421
1600,21.398,31.7219,26.0131
2000,22.6654,33.2468,27.0607
2500,23.5854,34.643,27.5537
3150,23.7093,35.8417,26.5662
4000,20.8668,36.5564,19.0026
5000,18.468,36.1358,24.268
