freq,tl
108.52,23.465
127.80,24.331
148.47,25.160
178.06,26.215
202.21,26.968
238.14,27.985
302.98,29.454
347.21,30.358
407.05,31.299
464.37,32.053
582.80,33.258
718.25,34.275
790.14,34.765
893.26,35.254
1023.7,35.480
1141.6,35.254
1250.2,34.539
1314.3,33.861
1362.9,33.070
1406.9,32.166
1439.3,31.036
1479.0,30.056
1492.5,29.379
1519.9,28.475
1547.8,27.646
1597.8,27.194
1664.5,27.608
1726.1,28.512
1806.3,29.680
1873.1,30.697
1951.3,31.563
2032.8,32.542
2098.4,33.296
2196.0,34.162
2350.8,35.518
2437.8,36.271
2505.2,36.836
2609.8,37.439
