freq,tl
102.76, 22.185
111.52, 22.712
119.38, 23.089
127.80, 23.465
138.06, 23.917
149.15, 24.331
159.67, 24.783
173.27, 25.311
188.89, 25.800
205.92, 26.290
221.45, 26.817
244.72, 27.382
261.98, 27.834
281.73, 28.324
304.35, 28.851
337.88, 29.492
375.09, 30.132
407.05, 30.697
437.74, 31.111
462.27, 31.450
485.96, 31.751
506.24, 32.015
524.97, 32.203
544.40, 32.429
559.45, 32.655
577.52, 32.881
623.89, 33.409
655.86, 33.710
689.47, 33.974
721.52, 34.313
765.41, 34.614
797.36, 34.840
834.41, 35.028
865.30, 35.141
909.64, 35.330
951.92, 35.480
1000.7, 35.518
1071.3, 35.480
1136.4, 35.292
1194.7, 35.066
1244.5, 34.652
1273.1, 34.313
1326.3, 33.672
1356.7, 33.183
1375.3, 32.618
1400.6, 32.128
1432.7, 31.488
1445.8, 30.923
1465.7, 30.395
1485.8, 29.718
1506.2, 29.040
1519.9, 28.475
1540.8, 27.834
1569.0, 27.420
1619.7, 27.081
1649.4, 27.495
1679.7, 27.910
1726.1, 28.550
1757.7, 29.040
1798.1, 29.567
1831.1, 30.056
1881.7, 30.810
1933.7, 31.450
1978.1, 32.053
2060.7, 32.844
2108.0, 33.446
2176.1, 34.087
2246.4, 34.727
2319.0, 35.367
2372.3, 35.857
2448.9, 36.384
2493.8, 36.798
